Country,Population
Afghanistan,39835428
Albania,2872934
Algeria,44616626
Andorra,77354
Angola,33933611
Antigua and Barbuda,98728
Argentina,45510318
Armenia,2968128
Australia,25823485
Austria,9043072
Azerbaijan,10300205
Bahamas,399285
Bahrain,1748296
Bangladesh,167885689
Barbados,288023
Belarus,9442862
Belgium,11632326
Belize,412190
Benin,13246543
Bhutan,787941
Bolivia,12047904
Bosnia and Herz.,3263466
Botswana,2485780
Brazil,215313498
Brunei,445431
Bulgaria,6896663
Burkina Faso,22102838
Burma,55227143
Burundi,12624840
Cabo Verde,567678
Cambodia,16946838
Cameroon,27224265
Canada,38388419
Central African Rep.,5016678
Chad,17413580
Chile,19250195
China,1412600000
Colombia,51265844
Comoros,907419
Congo,5657013
Costa Rica,9512087
Croatia,5182354
Cuba,4030305
Cyprus,11305652
Czechia,1223387
Côte d'Ivoire,10721232
Dem. Rep. Congo,27053629
Denmark,5834950
Diamond Princess,0
Djibouti,1016097
Dominica,72344
Dominican Republic,11056370
Ecuador,18004068
Egypt,106156692
El Salvador,6550389
Equatorial Guinea,1496662
Eritrea,3601467
Estonia,1320884
Eswatini,1184817
Ethiopia,120812698
Fiji,909466
Finland,5554960
France,65584518
Gabon,2331533
Gambia,2486945
Georgia,3979765
Germany,83369843
Ghana,33718458
Greece,10316637
Grenada,113475
Guatemala,18584039
Guinea,13497244
Guinea-Bissau,2015494
Guyana,808726
Haiti,11680283
Holy See,799
Honduras,10221247
Hungary,9634164
Iceland,372899
India,1406631776
Indonesia,279134505
Iran,86022837
Iraq,42164965
Ireland,5023109
Israel,9506000
Italy,60262770
Jamaica,2973463
Japan,125848338
Jordan,10300869
Kazakhstan,19205043
Kenya,56215221
Kiribati,123419
Kosovo,1775378
Kuwait,4380326
Kyrgyzstan,6628356
Laos,7447396
Latvia,1866942
Lebanon,6769146
Lesotho,2159079
Liberia,5305117
Libya,7040745
Liechtenstein,39137
Lithuania,2661708
Luxembourg,645397
MS Zaandam,0
Madagascar,29178077
Malawi,20180839
Malaysia,33939233
Maldives,543617
Mali,21473764
Malta,444033
Marshall Islands,60057
Mauritania,4775119
Mauritius,1273433
Mexico,131562772
Micronesia,568346
Moldova,2597315
Monaco,39511
Mongolia,3378078
Montenegro,627950
Morocco,37344795
Mozambique,33089461
Namibia,2587344
Nepal,30327877
Netherlands,17211447
New Zealand,4898203
Nicaragua,6702385
Niger,26083660
Nigeria,216746934
North Macedonia,2076490
Norway,5511370
Oman,5223375
Pakistan,229488994
Palau,18169
Palestine,0
Panama,4381579
Papua New Guinea,9292723
Paraguay,7305843
Peru,34359418
Philippines,115559009
Poland,37797005
Portugal,10270865
Qatar,2979915
Romania,19127774
Russia,145805947
Rwanda,13600464
S. Sudan,0
Saint Kitts and Nevis,54821
Saint Lucia,185113
Saint Vincent and the Grenadines,111551
Samoa,200149
San Marino,34017
Sao Tome and Principe,227679
Saudi Arabia,35844909
Senegal,17196301
Serbia,8697550
Seychelles,99426
Sierra Leone,8306436
Singapore,5943546
Slovakia,5460721
Slovenia,2078724
Solomon Islands,721159
Somalia,16841795
South Africa,60756135
South Korea,51329899
Spain,46719142
Sri Lanka,21575842
Sudan,46196665
Suriname,614749
Sweden,10377771
Switzerland,8773637
Syria,19398448
Taiwan,23888595
Tajikistan,9957464
Tanzania,63298550
Thailand,693950850
Timor-Leste,1383723
Togo,8680837
Tonga,107749
Trinidad and Tobago,1403375
Tunisia,12046656
Turkey,85341241
Uganda,47123531
Ukraine,40800857
United Arab Emirates,10081785
United Kingdom,68497907
United States of America,334805269
Uruguay,3496016
Uzbekistan,34269199
Vanuatu,326740
Venezuela,28295594
Vietnam,98953541
Yemen,30620495
Zambia,19470234
Zimbabwe,15331428
